ms_sub_class,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_first,exterior_second,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_sf_1,bsmt_fin_type_2,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,age_at_sale,years_since_remodel,mortgage_rate,days_on_market,distance_to_center,sale_year,sale_month,sale_quarter,sale_ym_index,garage_age_at_sale,total_sf,total_above_ground_sf,total_bath,total_porch_sf,has_basement,has_garage,has_pool,has_fireplace,has_fence,has_porch,is_new_house,qual_gr_liv_area,qual_total_sf,age_qual_interaction,age_negative_flag,remodel_negative_flag,garage_age_negative_flag
20,RL,70.0,11200,Pave,NoFeature,3.0,Lvl,AllPub,Inside,2.0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,NoFeature,0.0,3.0,3.0,CBlock,3.0,3.0,1.0,3.0,906,1.0,0,134,1040,GasA,5.0,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3.0,5,7.0,0,0.0,Detchd,1965.0,1.0,1,384,3.0,3.0,2.0,0,0,0,0,0,0,0.0,NoFeature,NoFeature,0,2,2008,WD,Normal,43,43,5.9175,35,2.14,2008,2,1,26,43.0,2080,1040,2.0,0,1,1,0,0,0,0,0,5200,10400,215,0,0,0
60,RL,85.0,11924,Pave,NoFeature,2.0,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5.0,3.0,PConc,5.0,3.0,1.0,6.0,998,1.0,0,177,1175,GasA,5.0,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5.0,11,7.0,2,4.0,BuiltIn,2005.0,3.0,3,736,3.0,3.0,2.0,147,21,0,0,0,0,0.0,NoFeature,NoFeature,0,7,2006,New,Partial,1,0,6.7625,85,4.42,2006,7,3,7,1.0,3499,2324,4.0,168,1,1,0,1,0,1,1,20916,31491,9,0,0,0
20,RL,72.0,12968,Pave,NoFeature,1.0,Lvl,AllPub,Inside,2.0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,NoFeature,0.0,3.0,3.0,CBlock,3.0,3.0,1.0,5.0,737,1.0,0,175,912,GasA,3.0,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3.0,4,7.0,0,0.0,Detchd,1962.0,1.0,1,352,3.0,3.0,2.0,140,0,0,0,176,0,0.0,NoFeature,NoFeature,0,9,2008,WD,Normal,46,46,6.0375,35,2.45,2008,9,3,33,46.0,1824,912,2.0,316,1,1,0,0,0,1,0,4560,9120,230,0,0,0
20,RL,91.0,10652,Pave,NoFeature,2.0,Lvl,AllPub,Inside,2.0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4.0,3.0,PConc,4.0,3.0,3.0,1.0,0,1.0,0,1494,1494,GasA,5.0,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4.0,7,7.0,1,4.0,Attchd,2006.0,2.0,3,840,3.0,3.0,2.0,160,33,0,0,0,0,0.0,NoFeature,NoFeature,0,8,2007,New,Partial,1,0,6.572,36,3.0,2007,8,3,20,1.0,2988,1494,2.0,193,1,1,0,1,0,1,1,10458,20916,7,0,0,0
20,RL,73.0,10920,Pave,NoFeature,2.0,Lvl,AllPub,Corner,2.0,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3.0,3.0,CBlock,3.0,3.0,1.0,4.0,733,1.0,0,520,1253,GasA,3.0,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3.0,5,7.0,1,2.0,Attchd,1960.0,2.0,1,352,3.0,3.0,2.0,0,213,176,0,0,0,0.0,GdWo,NoFeature,0,5,2008,WD,Normal,48,48,6.036,24,1.77,2008,5,2,29,48.0,2506,1253,2.5,389,1,1,0,1,1,1,0,7518,15036,288,0,0,0
45,RM,51.0,6120,Pave,NoFeature,3.0,Lvl,AllPub,Corner,2.0,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,NoFeature,0.0,3.0,3.0,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,832,832,GasA,5.0,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3.0,5,7.0,0,0.0,Detchd,1991.0,1.0,2,576,3.0,3.0,2.0,48,112,0,0,0,0,0.0,GdPrv,NoFeature,0,7,2007,WD,Normal,78,6,6.695,50,0.9,2007,7,3,19,16.0,1686,854,1.0,160,1,1,0,0,1,1,0,5978,11802,546,0,0,0
20,RL,73.0,11241,Pave,NoFeature,2.0,Lvl,AllPub,CulDSac,2.0,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3.0,3.0,CBlock,3.0,3.0,1.0,5.0,578,1.0,0,426,1004,GasA,5.0,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3.0,5,7.0,1,3.0,Attchd,1970.0,3.0,2,480,3.0,3.0,2.0,0,0,0,0,0,0,0.0,NoFeature,Shed,700,3,2010,WD,Normal,40,40,4.9675,46,2.68,2010,3,1,51,40.0,2008,1004,2.0,0,1,1,0,1,0,0,0,6024,12048,240,0,0,0
90,RL,72.0,10791,Pave,NoFeature,3.0,Lvl,AllPub,Inside,2.0,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,NoFeature,0.0,3.0,3.0,Slab,0.0,0.0,0.0,0.0,0,0.0,0,0,0,GasA,3.0,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3.0,6,7.0,0,0.0,CarPort,1967.0,1.0,2,516,3.0,3.0,2.0,0,0,0,0,0,0,0.0,NoFeature,Shed,500,10,2006,WD,Normal,39,39,6.3575,44,2.71,2006,10,4,10,39.0,1296,1296,2.0,0,0,1,0,0,0,0,0,5184,5184,156,0,0,0
20,RL,66.0,13695,Pave,NoFeature,3.0,Lvl,AllPub,Inside,2.0,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,NoFeature,0.0,3.0,3.0,PConc,3.0,3.0,1.0,6.0,646,1.0,0,468,1114,GasA,5.0,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4.0,6,7.0,0,0.0,Detchd,2004.0,1.0,2,576,3.0,3.0,2.0,0,102,0,0,0,0,0.0,NoFeature,NoFeature,0,6,2008,WD,Normal,4,4,6.32,32,2.79,2008,6,2,30,4.0,2228,1114,2.5,102,1,1,0,0,0,1,0,5570,11140,20,0,0,0
20,RL,70.0,7560,Pave,NoFeature,3.0,Lvl,AllPub,Inside,2.0,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,NoFeature,0.0,3.0,3.0,CBlock,3.0,3.0,1.0,2.0,504,1.0,0,525,1029,GasA,3.0,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3.0,6,6.0,0,0.0,Attchd,1958.0,1.0,1,294,3.0,3.0,2.0,0,0,0,0,0,0,0.0,MnPrv,NoFeature,0,5,2009,COD,Abnorml,51,44,4.8575,23,1.6,2009,5,2,41,51.0,2368,1339,1.0,0,1,1,0,0,1,0,0,6695,11840,255,0,0,0
60,RL,101.0,14215,Pave,NoFeature,2.0,Lvl,AllPub,Corner,2.0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4.0,3.0,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1158,1158,GasA,5.0,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4.0,9,7.0,1,4.0,BuiltIn,2005.0,2.0,3,853,3.0,3.0,2.0,240,154,0,0,0,0,0.0,NoFeature,NoFeature,0,11,2006,New,Partial,1,0,6.24,79,4.21,2006,11,4,11,1.0,3534,2376,3.5,394,1,1,0,1,0,1,1,19008,28272,8,0,0,0
45,RM,57.0,7449,Pave,Grvl,3.0,Bnk,AllPub,Inside,2.0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NoFeature,0.0,3.0,3.0,PConc,3.0,3.0,1.0,1.0,0,1.0,0,637,637,GasA,5.0,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4.0,6,7.0,1,4.0,Attchd,1930.0,1.0,1,280,3.0,3.0,0.0,0,0,205,0,0,0,0.0,GdPrv,NoFeature,0,6,2007,WD,Normal,77,57,6.657500000000001,31,1.29,2007,6,2,18,77.0,1745,1108,1.0,205,1,1,0,1,1,1,0,7756,12215,539,0,0,0
20,RL,75.0,9742,Pave,NoFeature,3.0,Lvl,AllPub,Inside,2.0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4.0,3.0,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1777,1777,GasA,5.0,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4.0,7,7.0,1,4.0,Attchd,2002.0,2.0,2,534,3.0,3.0,2.0,171,159,0,0,0,0,0.0,NoFeature,NoFeature,0,9,2008,WD,Normal,6,6,6.0375,43,2.32,2008,9,3,33,6.0,3572,1795,2.0,330,1,1,0,1,0,1,0,14360,28576,48,0,0,0
120,RM,44.0,4224,Pave,NoFeature,3.0,Lvl,AllPub,Inside,2.0,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,NoFeature,0.0,3.0,3.0,PConc,4.0,3.0,1.0,6.0,840,1.0,0,200,1040,GasA,3.0,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3.0,6,7.0,1,3.0,Attchd,1976.0,1.0,2,572,3.0,3.0,2.0,100,110,0,0,0,0,0.0,NoFeature,NoFeature,0,6,2007,WD,Normal,31,31,6.657500000000001,44,2.4,2007,6,2,18,31.0,2100,1060,2.0,210,1,1,0,1,0,1,0,5300,10500,155,0,0,0
20,RL,72.0,8246,Pave,NoFeature,2.0,Lvl,AllPub,Inside,2.0,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,NoFeature,0.0,3.0,4.0,CBlock,3.0,3.0,2.0,3.0,188,5.0,668,204,1060,GasA,5.0,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4.0,6,7.0,1,3.0,Attchd,1968.0,1.0,1,270,3.0,3.0,2.0,406,90,0,0,0,0,0.0,MnPrv,NoFeature,0,5,2010,WD,Normal,42,9,4.8875,28,2.44,2010,5,2,53,42.0,2120,1060,2.0,496,1,1,0,1,1,1,0,5300,10600,210,0,0,0
20,RL,110.0,14230,Pave,NoFeature,3.0,Lvl,AllPub,Corner,2.0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4.0,3.0,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1566,1566,GasA,5.0,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4.0,7,7.0,1,4.0,Attchd,2007.0,2.0,3,890,3.0,3.0,2.0,0,56,0,0,0,0,0.0,NoFeature,NoFeature,0,7,2009,WD,Normal,2,2,5.222,45,4.47,2009,7,3,43,2.0,3166,1600,2.0,56,1,1,0,1,0,1,0,12800,25328,16,0,0,0
20,RL,60.0,7200,Pave,NoFeature,3.0,Lvl,AllPub,Corner,2.0,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,NoFeature,0.0,3.0,3.0,CBlock,3.0,3.0,2.0,4.0,234,3.0,486,180,900,GasA,3.0,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4.0,5,7.0,0,0.0,Detchd,2005.0,1.0,2,576,3.0,3.0,2.0,222,32,0,0,0,0,0.0,NoFeature,NoFeature,0,5,2010,WD,Normal,59,10,4.8875,44,2.19,2010,5,2,53,5.0,1800,900,1.5,254,1,1,0,0,0,1,0,4500,9000,295,0,0,0
20,RL,98.0,11478,Pave,NoFeature,3.0,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4.0,3.0,PConc,5.0,3.0,1.0,6.0,1218,1.0,0,486,1704,GasA,5.0,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4.0,7,7.0,1,4.0,Attchd,2008.0,2.0,3,772,3.0,3.0,2.0,0,50,0,0,0,0,0.0,NoFeature,NoFeature,0,5,2010,WD,Normal,3,2,4.8875,40,4.63,2010,5,2,53,2.0,3408,1704,3.0,50,1,1,0,1,0,1,0,13632,27264,24,0,0,0
20,RL,47.0,16321,Pave,NoFeature,2.0,Lvl,AllPub,CulDSac,2.0,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,NoFeature,0.0,3.0,3.0,CBlock,3.0,3.0,4.0,4.0,1277,1.0,0,207,1484,GasA,3.0,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3.0,6,7.0,2,4.0,Attchd,1957.0,2.0,1,319,3.0,3.0,2.0,288,258,0,0,0,0,0.0,NoFeature,NoFeature,0,12,2006,WD,Normal,49,9,6.135,36,2.04,2006,12,4,12,49.0,3084,1600,2.0,546,1,1,0,1,0,1,0,8000,15420,245,0,0,0
30,RM,60.0,6324,Pave,NoFeature,2.0,Lvl,AllPub,Inside,2.0,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,NoFeature,0.0,3.0,3.0,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,520,520,GasA,2.0,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2.0,4,7.0,0,0.0,Detchd,1920.0,1.0,1,240,2.0,3.0,2.0,49,0,87,0,0,0,0.0,NoFeature,NoFeature,0,5,2008,WD,Normal,81,58,6.036,77,1.58,2008,5,2,29,88.0,1040,520,1.0,136,1,1,0,0,0,1,0,2080,4160,324,0,0,0
70,C (all),50.0,8500,Pave,Pave,3.0,Lvl,AllPub,Inside,2.0,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,NoFeature,0.0,3.0,2.0,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,649,649,GasA,3.0,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3.0,6,7.0,0,0.0,Detchd,1920.0,1.0,1,250,3.0,2.0,0.0,0,54,172,0,0,0,0.0,MnPrv,NoFeature,0,7,2008,WD,Normal,88,58,6.425999999999999,37,0.95,2008,7,3,31,88.0,1966,1317,1.0,226,1,1,0,0,1,1,0,5268,7864,352,0,0,0
20,RL,72.0,8544,Pave,NoFeature,2.0,Lvl,AllPub,CulDSac,2.0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,NoFeature,0.0,3.0,3.0,CBlock,3.0,3.0,1.0,1.0,0,1.0,0,1228,1228,GasA,4.0,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4.0,6,7.0,0,0.0,Attchd,1966.0,1.0,1,271,3.0,3.0,2.0,0,65,0,0,0,0,0.0,MnPrv,NoFeature,0,6,2008,WD,Normal,42,2,6.32,41,1.96,2008,6,2,30,42.0,2456,1228,1.5,65,1,1,0,0,1,1,0,6140,12280,210,0,0,0
20,RL,85.0,11049,Pave,NoFeature,3.0,Lvl,AllPub,Corner,2.0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,NoFeature,0.0,4.0,3.0,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1234,1234,GasA,5.0,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4.0,7,7.0,0,0.0,Attchd,2007.0,2.0,2,484,3.0,3.0,2.0,0,30,0,0,0,0,0.0,NoFeature,NoFeature,0,1,2008,WD,Normal,1,1,5.758,53,2.3,2008,1,1,25,1.0,2468,1234,2.0,30,1,1,0,0,0,1,0,9872,19744,8,0,0,0
20,RL,70.0,10552,Pave,NoFeature,2.0,Lvl,AllPub,Inside,2.0,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,NoFeature,0.0,3.0,3.0,CBlock,3.0,3.0,1.0,3.0,1018,1.0,0,380,1398,GasA,4.0,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4.0,6,7.0,1,4.0,Attchd,1959.0,2.0,2,447,3.0,3.0,2.0,0,38,0,0,0,0,0.0,NoFeature,NoFeature,0,4,2010,WD,Normal,51,51,5.098000000000001,23,1.63,2010,4,2,52,51.0,3098,1700,2.0,38,1,1,0,1,0,1,0,8500,15490,255,0,0,0
120,RL,60.0,7313,Pave,NoFeature,3.0,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5.0,3.0,PConc,5.0,3.0,1.0,6.0,1153,1.0,0,408,1561,GasA,5.0,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5.0,6,7.0,1,4.0,Attchd,2005.0,3.0,2,556,3.0,3.0,2.0,203,47,0,0,0,0,0.0,NoFeature,NoFeature,0,8,2007,WD,Normal,2,2,6.572,46,4.75,2007,8,3,20,2.0,3122,1561,3.0,250,1,1,0,1,0,1,0,14049,28098,18,0,0,0
60,RL,108.0,13418,Pave,NoFeature,3.0,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4.0,3.0,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1117,1117,GasA,5.0,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4.0,9,7.0,1,4.0,BuiltIn,2004.0,3.0,3,691,3.0,3.0,2.0,113,32,0,0,0,0,0.0,NoFeature,NoFeature,0,9,2006,WD,Normal,2,1,6.4025,76,4.65,2006,9,3,9,2.0,3569,2452,3.5,145,1,1,0,1,0,1,0,19616,28552,16,0,0,0
