overall_qual,gr_liv_area,neighborhood,garage_cars,total_bsmt_sf,mortgage_rate,days_on_market,distance_to_center,total_sf,age_at_sale,years_since_remodel,total_bath,predicted_sale_price,actual_sale_price
8,2376,NridgHt,3,1158,6.24,79,4.21,8.170468578330674,1,0,3.5,329016.6910511533,325300
7,1108,IDOTRR,1,637,6.657500000000001,31,1.29,7.465082736399547,77,57,1.0,125266.82980549012,139400
8,1795,CollgCr,2,1777,6.0375,43,2.32,8.181160858023409,6,6,2.0,238221.97073680445,230000
5,1060,MeadowV,2,1040,6.657500000000001,44,2.4,7.650168700845001,31,31,2.0,137859.48077887198,129900
5,1060,Sawyer,1,1060,4.8875,28,2.44,7.659642954564682,42,9,2.0,151853.30662598874,154000
8,1600,NridgHt,3,1566,5.222,45,4.47,8.06054004653864,2,2,2.0,246555.7477607029,256300
5,900,NAmes,2,900,4.8875,44,2.19,7.496097345175956,59,10,1.5,129818.15986881721,134800
8,1704,NridgHt,3,1704,4.8875,40,4.63,8.134174272137903,3,2,3.0,276498.7513555791,306000
5,1600,NAmes,1,1484,6.135,36,2.04,8.034306936339489,49,9,2.0,194099.83858030883,207500
4,520,BrkSide,1,520,6.036,77,1.58,6.947937068614969,81,58,1.0,69959.84282868697,68500
4,1317,IDOTRR,1,649,6.425999999999999,37,0.95,7.584264818389059,88,58,1.0,72779.34635353221,40000
5,1228,Sawyer,1,1228,6.32,41,1.96,7.806696372521179,42,2,1.5,140025.0176292508,149350
8,1234,CollgCr,2,1234,5.758,53,2.3,7.81156848934518,1,1,2.0,189314.8593949484,179900
5,1700,NAmes,2,1398,5.098000000000001,23,1.63,8.038834757787749,51,51,2.0,169344.4631348288,165500
9,1561,NridgHt,2,1561,6.572,46,4.75,8.046549357283078,2,2,3.0,273325.2123623257,277500
8,2452,NridgHt,3,1117,6.4025,76,4.65,8.180320874773685,2,1,3.5,318972.65335376066,309000
5,1097,CollgCr,2,1097,5.42,30,2.66,7.693937325509272,15,14,1.5,146016.30813908196,145000
5,1297,NAmes,2,1297,4.952,38,1.73,7.861341795599989,55,19,1.5,147112.59068715305,153000
5,1057,NAmes,1,1057,5.03,28,2.32,7.656810091480378,57,3,2.0,126145.91560468086,109000
4,1152,Edwards,0,0,6.32,44,2.78,7.050122520269059,53,53,2.0,77373.08232472072,82000
6,1324,NAmes,2,1088,6.135,32,1.48,7.7886260656250315,41,41,2.0,139608.0976103637,160000
5,1328,Timber,1,1350,6.695,28,3.58,7.893198869544609,48,48,2.0,164857.6215455267,170000
5,884,SawyerW,2,840,6.095,40,2.92,7.45298232946546,24,24,2.0,149515.83074375946,144000
5,938,CollgCr,1,938,6.425999999999999,45,1.98,7.537430036586509,33,28,2.0,132139.39737426554,130250
5,1150,NAmes,1,1150,6.5975,27,2.17,7.741099090035366,47,47,2.0,144941.6574107506,141000
9,1752,NridgHt,2,1752,4.99,58,4.69,8.16194579946869,5,5,3.0,292940.7901280294,319900
7,2149,Mitchel,2,1434,5.1925,59,2.72,8.18423477409482,6,6,2.5,249145.5412862716,239686
8,1656,Somerst,3,1656,6.695,47,3.67,8.105609402299896,1,1,2.0,260115.71007975034,249700
4,1452,OldTown,0,736,5.42,34,0.3,7.691200097522863,89,1,2.0,91147.25822901176,113000
5,955,Sawyer,1,955,6.2175,41,2.64,7.555381944240273,41,41,2.0,128600.58089460518,127000
6,1470,Gilbert,2,794,6.695,33,3.88,7.725330037917135,10,10,2.5,186837.11551396915,177000
6,1176,BrkSide,2,816,6.4025,41,1.53,7.398174092970465,72,56,1.0,120833.25866732115,114500
5,816,IDOTRR,2,816,4.8875,54,1.41,7.398174092970465,47,47,2.0,102670.14022940901,110000
9,1842,Veenker,3,1842,6.24,52,4.03,8.212025804623437,25,19,2.5,343445.36127261235,385000
5,1360,NAmes,2,384,6.285,22,2.33,7.4645098346365275,52,52,1.0,118967.63062597864,130000
6,1425,NAmes,2,1425,6.425999999999999,33,2.02,7.955425088912672,44,44,2.0,167181.30945520147,180500
8,1739,Somerst,2,970,5.1925,51,4.08,7.904703913873747,10,9,3.5,198381.72079350377,172500
7,1720,CollgCr,2,860,6.523999999999999,33,2.13,7.855932199718614,2,2,2.5,194214.0947310349,196500
10,2945,StoneBr,3,1410,6.3575,160,4.82,8.37930948405285,0,0,3.5,492998.3864266119,438780
5,780,CollgCr,1,780,5.758,43,2.15,7.353081920515432,36,36,1.0,121439.00610568859,124900
6,1158,SawyerW,2,1158,6.5975,35,2.84,7.748028524432376,2,2,2.5,173045.41779028653,158000
5,1111,IDOTRR,1,530,6.156000000000001,33,1.37,7.403670290012373,87,11,1.0,99838.60549461863,101000
8,1370,NridgHt,2,1370,6.375,36,4.47,7.916078096302786,1,1,2.0,220160.4796609529,202500
7,1710,OldTown,2,576,5.098000000000001,41,0.89,7.734996194022781,89,60,2.0,138416.90229835914,140000
7,2034,CollgCr,2,1057,5.13,39,2.52,8.036573409707312,12,11,3.5,231808.90726520304,219500
8,2473,NridgHt,3,1143,6.375,79,5.24,8.193400231952097,3,2,2.5,297527.4457760294,317000
7,2207,NAmes,2,1947,4.564,54,2.01,8.332067707289548,40,21,3.0,244504.25671057572,180000
7,1479,CollgCr,2,1453,6.657500000000001,40,1.86,7.983781068977451,4,4,3.0,216381.627786118,226000
4,747,OldTown,1,747,4.7375,49,0.88,7.3098814858247865,65,60,1.0,79648.949436938,80000
7,2287,ClearCr,2,1304,6.7625,50,2.42,8.18646442942209,53,53,2.0,222261.21528608233,225000
7,2223,NAmes,2,2223,6.285,58,2.05,8.399984990510696,34,34,3.0,284965.975760278,244000
4,845,Mitchel,2,845,6.657500000000001,62,2.46,7.43307534889858,25,1,2.0,121262.00929230174,129500
7,1718,Gilbert,2,832,4.93,40,3.34,7.844240718141811,11,11,2.5,189874.49559197642,185000
5,1086,NAmes,2,1086,4.8875,35,2.17,7.6838639802564295,56,7,2.0,142013.29606394764,144900
3,1605,OldTown,1,840,4.8875,34,0.96,7.802209316247118,95,60,2.0,99130.97014498613,107400
4,988,MeadowV,1,462,4.875,47,2.61,7.280008252884188,36,36,2.0,95456.21069774867,91000
4,952,NAmes,1,952,5.9175,43,1.73,7.552237287560802,52,52,1.0,121199.52007311971,135750
5,1285,BrkSide,1,672,5.758,31,1.06,7.579678823090456,60,7,2.0,120661.15109980284,127000
4,1768,Sawyer,0,1768,5.098000000000001,34,2.55,8.17103418920548,42,42,2.0,121930.04008131467,136500
5,1230,OldTown,2,440,4.8575,27,1.09,7.421177528595393,99,28,1.5,116474.72903294211,110000
6,2142,NAmes,1,896,5.42,54,2.04,8.019283792916793,41,41,2.5,195236.92799925792,193500
6,1337,Mitchel,2,1237,6.324,42,2.88,7.853604813097837,8,8,3.0,164741.6848364142,153500
8,1563,Somerst,3,1563,6.2,35,4.11,8.047829357457841,1,1,2.0,251216.7736733276,245000
5,1065,NAmes,2,1065,6.695,36,1.58,7.664346632098617,47,47,1.5,126686.79313417197,126500
7,1474,Gilbert,2,384,4.8575,26,3.72,7.527793987721444,14,13,2.5,158434.5303471425,168500
8,2417,NoRidge,2,1288,6.5075,72,4.43,8.217708406845306,15,14,2.5,268644.3617288903,260000
6,1560,Gilbert,2,684,5.0025,24,4.28,7.716460800176355,4,4,2.5,183605.7504014041,174000
6,1224,Somerst,2,612,5.42,43,3.82,7.515889085215125,0,0,2.5,171672.32196532737,164500
3,1526,IDOTRR,0,1013,4.952,53,0.86,7.614312146452,94,27,1.0,56325.55559750373,85000
4,990,CollgCr,0,990,6.572,40,2.15,7.591357046698551,13,12,2.0,120876.11909509895,123600
4,1040,NAmes,2,0,6.7625,44,2.44,6.947937068614969,56,56,1.0,103635.76496597847,109900
5,1235,NAmes,2,1235,6.135,42,1.98,7.81237820598861,45,45,1.0,112531.76286567221,98600
5,964,Crawfor,2,876,5.1925,35,2.77,7.518064181233078,88,3,2.0,142829.56596392923,163500
6,2291,OldTown,2,1214,6.208,57,0.77,8.16223106548118,97,9,2.5,129732.89569799497,133900
6,1786,CollgCr,2,824,6.2620000000000005,41,2.01,7.8674885686991285,10,10,3.5,195725.62970445826,204750
6,1470,Gilbert,2,680,4.8100000000000005,21,3.41,7.67368812926773,16,16,2.5,189314.79734579087,185000
7,1588,CollgCr,2,1588,6.523999999999999,36,2.16,8.063692634269517,7,7,2.0,214805.93699799804,214000
4,960,Edwards,1,960,6.2620000000000005,41,2.39,7.560601162768557,42,42,2.0,111671.9400507246,94750
5,835,Edwards,1,458,4.8875,42,3.0,7.165493475060845,90,60,1.0,77275.65632520168,83000
4,1225,NAmes,0,950,5.03,32,2.06,7.685243607975833,51,51,2.5,116295.77003855509,128950
6,1610,NWAmes,2,1610,4.99,21,3.48,8.0774471493312,33,9,3.0,217392.6891852105,205000
6,1732,SawyerW,2,741,4.7375,42,2.52,7.813591552952433,25,25,2.5,170454.8826935645,178000
5,1535,SawyerW,2,0,5.42,38,2.32,7.336936913707618,30,30,2.0,115945.4136490362,118964
7,1226,CollgCr,3,1226,4.8875,33,2.28,7.8050670442584895,1,1,2.0,176980.88844308362,198900
7,1818,IDOTRR,1,1040,6.657500000000001,30,0.91,7.958227192322312,76,57,1.5,154761.69483892762,169500
8,1992,Somerst,2,1053,6.4775,52,3.54,8.021584533455107,5,4,2.5,244692.12921570247,250000
4,1047,OldTown,1,641,6.572,34,0.99,7.4318919168078,122,12,1.0,93050.55808329901,100000
5,789,OldTown,1,789,5.9175,49,0.61,7.364547014255642,60,58,1.0,101452.9940949023,115000
5,1517,IDOTRR,0,793,6.572,29,0.86,7.745435610274381,88,2,2.0,108453.00607310975,115000
6,1844,NWAmes,2,1844,5.03,25,3.18,8.213110697596676,33,33,2.0,208554.56443015326,190000
6,1855,Edwards,1,994,6.3575,41,2.54,7.955074273262696,52,34,2.0,146903.6444709407,136900
7,1430,Gilbert,2,384,5.098000000000001,28,3.93,7.503840746698951,10,10,2.5,168775.84357331117,180000
7,2696,CollgCr,3,1264,6.375,84,2.44,8.284251797621916,0,0,3.5,346913.93408067967,383970
6,2259,Crawfor,2,1809,6.375,62,2.32,8.31115254800169,54,54,3.0,250498.79819801266,217000
6,2320,Crawfor,1,1028,6.695,65,2.54,8.116417072794205,62,5,3.5,249671.8592803233,259500
6,1458,Somerst,2,729,6.657500000000001,41,4.0,7.690743163541872,8,8,2.5,167391.5835328368,176000
5,1092,Sawyer,1,1092,5.0575,40,2.53,7.68937110752969,47,47,1.5,124620.48102143632,139000
5,1125,Edwards,2,1125,6.18,40,3.0,7.719129840906732,1,0,1.5,148728.59103632745,155000
7,3222,SawyerW,3,1673,4.8875,134,2.46,8.496173824192162,20,20,4.0,352120.87412390916,320000
6,1456,CollgCr,2,728,6.7625,26,2.3,7.68937110752969,1,0,2.5,174845.29647597604,163990
6,988,ClearCr,2,938,6.3575,50,2.5,7.563719668414366,37,37,2.0,167342.7984402708,180000
4,1123,IDOTRR,1,732,6.657500000000001,43,0.74,7.526178913346146,68,57,1.0,99569.63669039328,100000
6,1080,NAmes,1,1080,6.32,36,1.76,7.6783263565068856,50,50,1.0,139497.17354902378,136000
6,1199,SawyerW,2,1199,5.97,34,2.86,7.782807262839695,15,15,2.0,164272.7653110535,153900
6,1586,NWAmes,2,1362,5.047499999999999,40,3.95,7.989221408815276,30,11,2.0,175720.08299739088,181000
6,754,IDOTRR,0,520,6.682,52,0.75,6.947937068614969,71,24,2.0,95370.2359432424,84500
6,958,NPkVill,2,1078,6.285,45,2.11,7.619233416226805,31,31,2.0,134930.31342273744,128000
5,840,OldTown,0,672,6.657500000000001,51,0.94,7.321849713788356,77,57,1.0,86754.9985914327,87000
6,1348,NAmes,2,660,6.7625,37,1.68,7.605392364814935,40,40,1.5,135550.4972819428,155000
5,1053,NAmes,2,1008,6.7625,45,2.12,7.631431664576906,48,15,2.0,136109.71791888808,150000
7,2157,NAmes,2,924,6.5975,58,2.48,8.033334015880062,40,40,2.5,228799.95348112792,226000
6,2054,Gilbert,2,992,5.222,35,3.49,8.021912778985708,9,9,3.5,221117.0637144298,244000
5,1327,NAmes,2,1063,6.695,34,2.07,7.779466967458324,48,5,2.0,150854.94888681927,150750
8,1296,Timber,2,1267,5.42,34,4.0,7.849323818040561,8,7,3.0,204882.862372832,220000
5,1721,Sawyer,2,1461,6.7625,29,2.02,8.065579427282092,38,13,2.5,176735.65221869762,180000
7,1682,NWAmes,2,1304,6.036,31,3.89,8.00202481821611,38,38,2.0,185308.64584910517,174000
5,1214,NAmes,1,1214,6.695,41,2.23,7.795234929002173,40,40,2.0,141901.47480524314,143000
7,1959,Mitchel,3,1907,6.7625,36,2.95,8.260234291607297,18,17,3.0,192740.96289426056,171000
8,1852,CollgCr,3,1004,5.286,49,1.82,7.957527402230773,9,8,2.5,244495.31589939087,230000
6,1764,CollgCr,2,928,5.1925,41,2.03,7.898411092811599,12,12,3.5,208385.40574549444,231500
4,864,NAmes,0,864,5.098000000000001,55,2.71,7.455298485683291,39,39,1.0,102990.90680705257,115000
7,1734,CollgCr,2,1734,6.145,28,2.39,8.15162164696975,1,1,3.0,242552.9893186873,260000
5,1385,NAmes,2,910,4.7375,39,1.89,7.738923757439457,58,58,2.0,125373.01254175683,166000
7,1501,CollgCr,2,1490,5.42,44,1.78,8.003697339094368,10,10,3.0,217467.1747847384,204000
5,1728,Sawyer,2,1728,6.24,27,2.32,8.148156439921625,43,43,3.0,133031.7570293694,125000
6,1709,Edwards,2,970,6.5075,35,2.51,7.893572073504902,2,0,2.0,133638.84807897333,130000
5,875,BrkSide,1,715,4.875,53,1.51,7.372118028337787,78,16,2.0,105884.24254606651,105000
7,2035,Gilbert,2,884,4.8875,37,3.69,7.979338895262328,9,9,2.5,216293.68242557874,222500
7,1080,SawyerW,0,1080,5.9175,47,2.17,7.6783263565068856,4,3,2.0,147242.39403854267,141000
5,1344,BrkSide,1,896,6.5075,27,1.39,7.714677473800927,70,56,1.0,114121.39212832172,115000
5,969,CollgCr,2,969,6.2175,44,2.41,7.569927655242652,32,32,1.5,133380.7422827965,122000
8,1710,NridgHt,3,1710,5.758,45,5.19,8.137688184977605,1,0,3.0,322322.86013442726,372402
6,1993,NWAmes,2,825,6.682,44,2.88,7.9441374911141125,35,35,2.5,180042.04399080077,190000
6,1252,ClearCr,2,1602,5.97,33,2.73,7.956827122090111,48,33,2.0,208031.21215509917,235000
6,1200,OldTown,1,1200,6.324,39,0.9,7.783640596221253,83,56,1.0,108072.01752540341,125000
6,1096,Edwards,0,572,5.9175,35,2.78,7.419979923661835,84,58,1.0,83656.08251042118,79000
5,1040,NAmes,2,0,6.682,38,2.07,6.947937068614969,56,56,1.0,110336.66506676562,109500
8,1968,Timber,3,774,4.8875,54,4.28,7.916807490937603,1,0,2.5,252705.7113102758,269500
7,1947,Somerst,2,991,4.8875,39,4.03,7.985824666418917,6,5,2.5,237028.81929659695,254900
7,2462,Gilbert,2,1392,6.324,63,3.53,8.25712628599743,1,0,3.5,316992.4721022864,320000
6,1232,Veenker,2,1232,6.32,35,4.27,7.80994708647679,24,24,2.0,170553.49283596696,162500
9,2668,NridgHt,3,1572,5.97,116,4.83,8.352554369474591,5,4,3.5,415618.495503052,412500
7,1541,NridgHt,2,1541,4.8875,38,5.11,8.03365842788615,5,5,2.0,234038.35651992634,220000
4,882,OldTown,0,882,6.18,57,0.91,7.475905969367397,51,51,1.0,98497.64039278362,103200
6,1616,OldTown,1,1149,6.375,33,0.41,7.925157512224703,81,3,2.0,153103.44779451142,152000
5,1355,Edwards,0,644,6.0375,31,2.63,7.600902459542082,68,9,3.0,117319.34210051042,127500
5,1867,ClearCr,1,1617,4.875,36,2.89,8.156223323194624,54,16,2.0,186058.83603875618,190000
8,2161,NridgHt,3,1582,6.208,52,5.35,8.227909837597483,0,0,2.5,335994.5525319298,325624
7,1720,Gilbert,2,840,6.2620000000000005,27,3.43,7.848153086199526,3,3,2.5,192747.8705311628,183500
8,1707,Timber,2,1686,6.145,42,3.88,8.129764445794171,25,25,2.5,239781.39846692988,228000
5,1382,OldTown,2,720,6.2620000000000005,30,1.02,7.362010551259734,66,57,1.5,120348.19461211044,128500
6,1656,NAmes,2,1080,4.8875,27,1.88,7.914617709040679,50,50,2.0,206541.0490031233,215000
7,1767,StoneBr,2,1064,6.682,31,4.01,7.94873845481361,19,19,3.0,240040.19210658362,239000
6,1362,NAmes,2,1362,6.32,35,1.9,7.9102237070973445,47,47,2.5,157739.39947241274,163000
6,1651,Timber,2,1606,6.0875,28,4.0,8.08886878916199,22,22,3.0,190968.61396916624,184000
6,2158,Edwards,2,1202,6.657500000000001,54,2.86,8.119993827725105,57,6,3.0,218081.57614426318,243000
6,2060,ClearCr,2,1151,6.3825,38,2.91,8.074649075066652,19,18,3.0,214659.931273172,211000
5,1920,Sawyer,2,1052,6.7625,43,2.58,7.997326822998097,48,48,3.0,181717.08241623617,172500
9,2234,StoneBr,3,2216,5.222,78,4.51,8.400884069015854,1,0,3.0,440432.91720424115,501837
5,968,OldTown,2,968,6.695,44,0.53,7.5688956634069955,84,1,1.0,105296.0898659949,100000
6,1525,Somerst,2,756,6.657500000000001,26,3.65,7.732807530422021,7,7,2.5,169708.2769201403,177000
7,1802,Crawfor,1,793,6.7625,44,2.97,7.86172707782398,86,56,1.5,159414.1075684126,200100
5,1340,Edwards,1,0,6.657500000000001,33,3.29,7.201170883281678,50,1,1.0,119974.42275373226,120000
7,2082,OldTown,2,1362,6.32,54,1.36,8.144679183447758,5,5,2.5,197286.16686922207,200000
5,1252,BrkSide,2,504,6.682,35,0.62,7.471363088187097,98,15,1.0,126323.80751486996,127000
10,3608,OldTown,3,1107,6.682,168,0.31,8.329416783939319,114,13,2.5,387431.7460498118,475000
7,1217,Mitchel,2,1188,5.42,35,2.96,7.785720896534624,19,18,3.0,186190.92484857625,173000
5,1656,OldTown,1,660,5.1925,25,0.76,7.6838639802564295,93,22,2.5,122359.10256397702,135000
5,1224,SawyerW,2,1086,5.42,38,2.7,7.745435610274381,30,30,3.0,141382.74323565717,153337
8,1593,StoneBr,2,1593,6.4775,47,4.05,8.066835314417336,7,6,2.5,261896.13446783187,286000
8,2727,Crawfor,2,853,6.095,94,2.55,8.183397369998433,75,13,2.5,279346.67802784895,315000
7,1479,NAmes,2,725,6.657500000000001,42,1.35,7.6984827878809465,35,3,2.5,191721.5337063589,184000
7,1431,CollgCr,2,1431,5.0575,35,2.16,7.959625305098115,10,10,3.0,201390.59426126338,192000
7,1709,Edwards,2,970,6.5975,45,2.84,7.893572073504902,2,2,2.0,141274.37221257598,130000
5,864,CollgCr,1,864,6.036,55,2.09,7.455298485683291,36,36,1.0,122214.36146954159,127000
6,1456,NPkVill,2,855,5.222,36,2.5,7.7458682297922685,33,33,2.5,143518.85456132438,148500
7,1726,Somerst,3,1726,6.3825,31,3.57,8.146998697389993,0,0,3.0,291868.2775096944,311872
8,3112,NAmes,2,1360,6.324,132,2.24,8.314097335405807,88,16,3.5,276374.45287089,235000
6,2229,OldTown,0,755,5.222,42,0.57,7.868636894184167,97,59,1.0,117949.19055247724,104000
8,1713,NridgHt,3,1713,5.047499999999999,38,4.7,8.139440521874608,5,4,3.0,287205.2735366583,274900
4,1121,Edwards,2,1121,4.9675,35,3.07,7.715569534520208,7,6,2.0,134676.93377051462,140000
6,1279,Mitchel,2,1196,5.9175,36,2.95,7.814399633804487,31,31,2.5,169209.1692219832,171500
6,1310,OldTown,1,617,6.5975,37,0.71,7.564238475170491,82,56,2.0,112229.33216106096,112000
6,848,CollgCr,2,848,5.758,55,2.1,7.436617265234227,4,4,2.0,141931.65237626605,149000
5,1284,OldTown,1,720,4.8100000000000005,38,0.66,7.60339933974067,62,59,1.5,111525.19472859007,110000
7,1442,Gilbert,2,1424,4.8575,28,4.36,7.96102146588337,19,19,2.0,185742.51536094584,180500
5,1696,Sawyer,1,1140,6.156000000000001,41,2.72,7.950502434808851,45,45,1.5,131587.03151838275,143900
4,1100,NAmes,1,1100,5.9175,34,2.05,7.696667081526462,48,48,2.0,129901.56791021927,141000
7,2062,SawyerW,2,1157,6.18,56,2.73,8.077136638538454,19,18,3.5,249066.85981137166,277000
6,1092,NAmes,2,1092,6.425999999999999,40,2.5,7.68937110752969,44,44,2.0,154908.54873989552,145000
5,864,Edwards,0,864,5.9175,40,2.47,7.455298485683291,83,58,2.0,88996.5355405457,98000
6,1212,Edwards,2,1212,4.9675,42,2.93,7.793586803371584,1,1,2.0,172528.1033773819,186000
7,1852,Somerst,2,900,5.222,44,3.74,7.920446505142607,0,0,3.5,246374.0003400604,252678
5,990,CollgCr,2,990,6.7625,48,2.72,7.591357046698551,11,11,1.5,150084.10346070322,156000
6,1392,CollgCr,1,689,4.9675,22,2.33,7.641084249174914,33,33,1.5,152545.93267455057,161750
5,1236,NAmes,1,1070,6.5975,26,2.93,7.7437032581737535,49,10,1.5,136915.8008452702,134450
7,1436,CollgCr,2,1436,5.9175,35,2.07,7.96311205897929,4,4,3.0,205965.7364906681,210000
4,1328,OldTown,1,686,6.4025,26,0.8,7.608374474380783,81,56,1.0,94186.01432370277,107000
7,1954,Crawfor,2,798,6.036,34,2.93,7.920446505142607,69,2,2.0,257471.4353329136,311500
7,1248,Blmngtn,2,1248,6.324,44,2.83,7.822845290279774,1,0,2.0,183870.91265805333,167240
7,1498,CollgCr,2,1498,6.5075,45,1.97,8.005367067316664,0,0,2.0,212889.1942393248,204900
6,2267,Gilbert,2,1010,4.93,46,4.31,8.094988759303774,7,7,2.5,212383.0124170037,200000
6,1552,NWAmes,2,713,6.2525,25,3.11,7.725771441587952,31,31,3.5,170242.65870633413,179900
4,864,NAmes,2,864,5.0025,45,1.79,7.455298485683291,38,38,1.0,111005.25684006976,97000
10,2392,NridgHt,3,2392,5.42,103,4.9,8.473241303887054,6,6,2.0,434186.7111304966,386250
5,1302,BrDale,1,630,4.8575,38,2.1,7.566828479208331,38,38,2.5,97496.11581700624,112000
7,2520,NoRidge,3,1203,6.657500000000001,77,4.26,8.222553638396958,12,12,2.5,258851.65471109128,290000
6,987,BrDale,1,483,6.0375,50,1.94,7.293697720601438,38,38,1.5,99235.31054849568,106000
5,912,Sawyer,1,912,4.8875,41,2.83,7.509335266016592,43,43,1.0,108465.70662226398,125000
7,1555,Blmngtn,2,1373,4.8575,34,2.17,7.982416346827733,4,3,2.0,195713.204262859,192500
6,1194,NAmes,1,1194,5.098000000000001,36,2.05,7.77863014732581,51,51,2.0,139704.8483787977,148000
8,2794,NoRidge,3,1462,5.222,110,4.72,8.356319965828153,14,13,3.5,358050.16348738916,403000
6,987,BrDale,1,483,6.682,48,2.29,7.293697720601438,34,34,1.5,95330.52431208857,94500
5,894,CollgCr,1,894,4.99,37,2.87,7.489412083508719,34,34,2.0,124854.91719603824,128200
6,1960,Gilbert,2,860,4.8875,46,4.11,7.944846711001996,8,8,3.5,215795.41557580192,216500
6,987,BrDale,1,483,6.4775,39,2.17,7.293697720601438,37,37,1.5,89054.42302946365,89500
7,1414,CollgCr,2,1414,4.8875,32,1.91,7.947678571301568,6,6,2.0,197418.5945276551,185500
7,1744,SawyerW,2,996,4.99,39,2.83,7.916078096302786,17,7,2.5,217996.73492514444,194500
8,1694,NridgHt,3,1694,6.095,46,4.21,8.128290171607052,0,0,2.0,269990.09270082787,318000
6,1487,Edwards,1,735,5.098000000000001,26,2.18,7.706612913964197,65,60,1.5,122645.41586084595,113000
8,1566,Somerst,2,1566,5.098000000000001,47,3.26,8.049746290952191,2,2,3.0,253063.1715932203,262500
5,866,OldTown,0,686,6.572,43,0.41,7.347943823148687,62,10,1.0,103920.51545848887,110500
5,1440,OldTown,1,540,6.5075,22,0.72,7.591357046698551,106,56,1.0,88410.30525745565,79000
6,1217,SawyerW,1,626,4.8100000000000005,36,2.49,7.519692404116539,29,29,1.5,132462.87147218664,120000
7,2110,SawyerW,2,948,4.8875,54,2.62,8.025843344150903,16,8,3.5,236259.15452331642,205000
7,1872,NWAmes,2,1845,6.682,36,3.7,8.220941168281389,18,18,2.5,228715.06084559744,241500
6,1928,OldTown,1,1020,6.5075,48,0.89,7.989221408815276,96,56,2.0,133769.52083396257,137000
6,1375,NAmes,2,1367,6.682,34,2.26,7.916807490937603,52,52,1.0,147972.850389916,140000
7,1668,CollgCr,2,840,6.3825,37,2.4,7.827639546366422,4,4,2.5,193071.19057127924,180000
6,2144,ClearCr,2,1444,6.657500000000001,52,2.84,8.185628891147607,49,1,2.5,298936.51862900436,277000
3,1306,BrkSide,0,728,4.8875,53,1.16,7.618251097876695,70,44,1.0,78621.60005032862,76500
8,1625,Crawfor,2,1573,6.095,37,2.38,8.070593539949519,1,0,3.5,260018.55986196455,235000
6,1640,SawyerW,2,798,5.286,41,2.35,7.79934339821592,4,4,2.5,175477.24740455695,173000
6,1302,NAmes,1,1302,6.375,27,1.93,7.865187954187467,43,16,2.5,173168.18707062397,158000
5,1314,NAmes,1,1314,4.7375,31,2.0,7.874358824729881,53,53,2.0,139977.98499009805,145000
7,2291,Gilbert,2,975,6.2525,59,3.7,8.09162741160107,7,7,2.5,226013.80301525604,230000
6,1728,Somerst,2,864,6.036,36,3.58,7.860570785538664,5,5,2.5,195858.0651439717,207500
7,1604,CollgCr,2,1604,5.0025,29,2.19,8.073714641109857,3,3,3.5,217987.82789376174,220000
7,1792,CollgCr,2,963,6.036,33,2.39,7.9215356321335495,7,7,2.5,220438.0492131232,231500
5,882,OldTown,1,0,5.286,39,0.58,6.78332520060396,52,52,1.0,99054.21817170121,97000
